"GPOName","DriveLetter","SharePath","Label"
"MapNetworkDrive_MPLS","Q","\\MPLSFS01\MPLSQMS","QMS"
"MapNetworkDrive_MPLS","W","\\mplsfs01\MPLSWellness","MPLS Wellness"
"MapNetworkDrive_MPLS","X","\\mplsfs01\MPLSKAEvents","KA Events"
"MapNetworkDrive_MPLS","U","\\mplsfs01\MPLSUsers\%LogonUser%","User Drive"
"MapNetworkDrive_MPLS","J","\\mplsfs01\MPLSProjects","MPLS Projects"
"MapNetworkDrive_MPLS","I","\\cpfs01\CPSubInsurance","Sub Insurance"
"MapNetworkDrive_MPLS","N","\\cpfs01\CPACCT","\\cpfs01\CPACCT"
"MapNetworkDrive_MPLS","T","\\mplsfs01\MPLSCapital","Capital"
"MapNetworkDrive_MPLS","M","\\mplsfs01\MPLSCommunityRelations","Community Relations"
"MapNetworkDrive_MPLS","P","\\mplsfs01\MPLSCorpConstruction","MPLS Corp Construction"
"MapNetworkDrive_MPLS","N","\\mplsfs01\MPLSEEO","EEO"
"MapNetworkDrive_MPLS","K","\\mplsfs01\MPLSExecutive","MPLS Executive"
"MapNetworkDrive_MPLS","G","\\mplsfs01\MPLSFieldOperations","MPLS Field Operations"
"MapNetworkDrive_MPLS","N","\\mplsfs01\MPLSKAHistory","KA History"
"MapNetworkDrive_MPLS","L","\\mplsfs01\CorpHR","CORP HR"
"MapNetworkDrive_MPLS","I","\\mplsfs01\MPLSInsurance","MPLS Insurance"
"MapNetworkDrive_MPLS","O","\\mplsfs01\MPLSKACos","\\mplsfs01\MPLSKACos"
"MapNetworkDrive_MPLS","T","\\mplsfs01\MPLSLegal","MPLS Legal"
"MapNetworkDrive_MPLS","M","\\marketing\MPLSMarketing","MPLS Marketing"
"MapNetworkDrive_MPLS","P","\\PORTFOLIO\Imaging","\\PORTFOLIO\Imaging"
"MapNetworkDrive_MPLS","M","\\mplsfs01\MPLSMortgage","Mortgage"
"MapNetworkDrive_MPLS","T","\\mplsfs01\MPLSOfcManager","\\mplsfs01\MPLSOfcManager"
"MapNetworkDrive_MPLS","O","\\colofs01\OSTData","OST"
"MapNetworkDrive_MPLS","S","\\mplsfs01\MPLSSafety","Safety"
"MapNetworkDrive_MPLS","V","\\mplsfs01\OwnerContracts","OwnerContracts"
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
